,,,,,,,,,,,,,,,,,,
Area,SHIPPER,INISIAL SHIPPER,Concat,Jenis Perjanjian,Status Perjanjian,NO. PERJANJIAN (TRANSPORTER),SEGMEN BISNIS,Priority,TGL PERJANJIAN,Start,End,Status,Target KPI (TW),Realisasi (TW),PIC,Attachement,Keterangan,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
,,,  ,,,,,,,,,,,,,,,
